DATE,ALL_SENDS,REMOTE_NOTIFICATION_RECEIVED,REMOTE_NOTIFICATION_DISPLAY,REMOTE_NOTIFICATION_OPEN
6/27/2025,6,0,0,0
6/28/2025,6,0,0,0
6/29/2025,11,0,0,0
6/30/2025,28,0,0,0
7/1/2025,32,0,0,0
7/2/2025,41,0,0,0
7/3/2025,42,0,0,0
7/4/2025,19,0,0,0
